feature_01,feature_02,feature_03,feature_04,feature_05,feature_06,feature_07,feature_08,feature_09,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,target
-4.228081,-2.194033,-1.632237,-0.915145,-2.985743,1.645834,0.099177,-7.900879,-2.764717,-1.161623,1.720027,-0.829719,1.882409,5.722847,-9.515739,-2.530144,-1.583000,-0.527585,-3.340708,3.626348,5.050160,-3.231809,0.710878,-0.514611,0.752151,1.834401,3.037514,0.430317,-1.197100,-1.974710,3.704881
-4.532208,-2.087435,-2.813586,-2.657454,2.325883,9.184530,6.352813,-6.993588,-2.809076,-2.220820,-1.861135,0.168570,6.337801,5.101103,-5.682106,-1.294081,-0.692011,-0.402122,3.390185,0.238860,-0.671046,-4.594115,-5.128768,-0.047686,0.101596,0.956488,2.699777,4.164862,-3.147652,3.238245,5.904153
-4.459583,-2.344487,-0.129714,-1.081852,0.262594,-3.605077,3.542617,-2.431443,-2.321676,-0.534388,0.698544,-0.652602,7.229003,3.595016,-0.784478,-4.468433,-1.819127,-0.580857,-0.448811,0.948710,3.303967,-7.850046,-7.251747,0.519989,-0.098831,0.727752,2.618354,3.620946,-6.610940,-3.498772,16.166809
-3.287897,-2.812841,-0.152721,1.060988,0.350841,-3.413607,4.822531,-2.185116,-2.271781,-1.152878,0.296364,0.773474,0.688628,-0.316577,-0.864997,-6.416907,-2.035979,0.374908,3.242706,3.850311,2.304830,-2.665904,-7.119532,2.133149,0.502255,0.898635,3.053416,3.304436,-10.744940,-0.636930,13.466707
-3.694072,-2.096784,-2.652786,0.125485,5.294990,3.987009,3.058868,-6.694768,-2.625176,0.222594,2.031541,1.746505,6.493749,3.555480,-0.378209,-2.776819,-0.796238,1.587896,0.852739,4.418726,0.876237,-2.247976,-4.150033,-5.685865,-0.349354,2.354550,2.193099,4.518084,-5.841333,-4.591723,8.001554
-4.042526,-3.236865,0.869162,-1.233611,4.479391,2.948214,6.569805,-6.080798,-3.386614,-0.227293,1.505485,3.967208,3.422221,4.507087,-0.514711,-5.715365,-0.836015,0.667893,0.647931,1.390683,4.302446,-0.167650,-7.073649,0.976239,-0.478051,0.823281,2.703876,1.087759,-6.809335,-2.035521,19.243023
-4.408425,-2.869102,-1.497218,0.016436,1.949515,1.238738,6.074980,-2.822551,-1.939066,0.668640,-0.726109,-0.682605,4.198262,3.640897,-5.131888,-4.212980,-1.070203,-0.452236,0.409638,4.006788,5.857490,-6.165003,-4.138079,1.347347,-0.126236,1.007299,3.669262,1.466284,-6.720251,1.490193,13.587243
-3.034134,-2.631017,-2.540561,0.403558,0.775667,1.603109,-0.062848,-4.787215,-1.527993,0.552766,0.820523,-1.459330,3.809590,3.137289,-7.073902,-1.961736,-1.581917,-0.860531,-0.936661,0.509625,4.666543,-7.022598,-1.498234,-3.600485,0.569294,2.124815,4.220327,3.513912,-1.075956,-5.456727,5.451679
-4.180436,-2.159373,1.551857,0.087592,5.461733,0.623861,8.833541,-9.873958,-3.149169,-1.269113,1.311108,-2.333680,-1.287125,8.534935,-5.355147,-8.486742,-0.806727,0.569415,1.250250,2.016268,4.351121,-6.145957,-1.315787,-5.013331,0.251084,2.213550,5.105084,6.117280,-4.188012,4.010475,20.240191
-4.138339,-1.489533,-1.470088,-4.069975,5.085861,1.637825,8.356321,-5.897460,-2.569011,0.338842,-0.854669,1.190906,3.216902,5.759735,-6.576312,-3.030145,-1.417765,0.371167,-0.133617,-0.321708,3.881684,-5.733802,-3.245698,-4.228956,-0.144854,2.272672,2.182674,3.784170,-4.156764,-5.356077,13.056845
-3.453597,-3.141341,0.139234,-1.769403,3.789705,-0.356120,1.478438,0.352839,-2.209098,-2.161454,0.926112,-0.090945,3.652514,5.668377,1.160284,-3.884015,-1.343236,1.126329,1.428585,0.739708,3.357292,-5.840105,0.852193,-6.746639,-0.217524,1.130677,4.042011,4.748414,-1.628685,-4.513350,14.584635
-3.539285,-3.405253,-2.439044,-1.498681,1.039961,5.910537,10.717107,1.951216,-1.755893,-0.622698,-1.728158,0.802520,1.250119,9.730400,-2.294687,-4.323704,-2.019258,0.950794,-0.531591,4.005225,2.544948,-4.503452,-1.211295,-6.713436,-0.769577,-0.343009,2.793854,3.561911,-0.081035,-4.710969,5.992763
-4.251701,-3.121243,-0.662544,-3.816251,2.980987,1.338626,9.936715,-1.017762,-3.202894,0.839303,0.297426,4.349961,2.221010,3.563328,-4.778653,-0.692005,-0.794598,0.176816,1.580600,1.114606,4.658579,-0.059545,-4.722604,-1.330870,0.864242,2.186500,1.585624,4.303556,-3.432977,-3.898649,17.004824
-3.927989,-1.418011,0.818971,-0.919729,-0.980912,3.117155,-1.887770,0.320280,-1.867564,-1.941750,-0.768292,1.805706,4.896634,2.652301,-3.925729,0.163678,-1.131823,-0.244982,1.050449,5.308156,4.813633,-4.724616,-7.153163,-1.267552,0.369532,0.753610,2.708489,1.619661,-7.062612,-1.290743,2.915985
-3.509114,-2.219690,1.543393,-0.116271,-2.738757,3.360596,1.031959,-6.647853,-2.775726,-2.266559,2.664503,0.783623,1.699360,5.134120,-9.411239,-3.237811,-1.597434,0.233149,1.226879,4.724777,6.396017,-3.046633,-3.643103,0.255397,-0.006325,2.490949,4.084918,4.301530,-1.845077,-1.518391,6.626577
-3.977349,-2.179601,-2.440905,-3.826144,-1.631107,-0.491936,4.153249,-7.920255,-2.410941,-2.311302,-0.824174,-0.125510,-3.874139,0.421927,-13.732377,-7.072218,-0.574567,0.690491,0.779900,0.321262,1.266416,-4.959736,-2.158491,-9.518451,-0.510894,0.197202,3.091638,3.804501,-6.582115,-3.737348,5.599592
-3.270043,-2.824553,-2.088834,0.145065,7.276641,-2.041472,-3.752689,-4.617564,-2.748982,-2.287129,-1.169605,-0.030462,1.832181,2.413491,-3.183970,-2.583749,-1.201160,-0.227439,1.405051,1.994220,7.483290,-0.946756,-2.128488,-1.155899,0.419712,0.445377,2.700958,2.144532,-1.898188,-5.960523,15.148115
-4.042031,-2.502932,0.036184,-2.512479,4.394826,4.597537,4.549694,-3.265614,-1.507144,-1.902852,0.970917,2.989159,2.150017,4.720773,-7.873893,0.321418,-1.210930,0.586347,0.388963,-0.059262,1.662032,-4.988677,-2.195917,1.518067,-0.581596,0.887479,3.732260,1.498187,-4.272186,-2.382866,11.802400
-3.295068,-2.062546,-0.879971,-1.664943,-1.194288,0.477193,2.253724,-2.372304,-2.249331,-0.396130,0.127711,1.616188,1.975479,1.414855,-7.015024,-3.622480,-0.868382,-0.554579,2.258241,2.501211,8.246161,-0.068630,-1.106898,-1.249343,-1.281887,0.880814,2.397010,-0.669737,-1.554478,-2.472856,8.713036
-4.346484,-2.057666,0.683627,-0.819490,-0.202768,-2.226164,-1.830563,-1.525201,-2.913826,-2.103811,0.742890,-0.367103,3.754401,4.712885,-0.661798,-4.435685,-2.214525,-0.149370,2.332201,3.192689,3.429605,-6.683907,-4.862288,-3.951419,-0.636459,1.402317,2.317123,2.873343,-2.110054,-3.698086,7.854920
